"filename", "language", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Users\lukep\SpaceDatingApp\App.js", "JavaScript", 29, 0, 2, 2, 33
"c:\Users\lukep\SpaceDatingApp\api\supabase.js", "JavaScript", 4, 0, 1, 3, 8
"c:\Users\lukep\SpaceDatingApp\app.json", "JSON", 0, 27, 0, 1, 28
"c:\Users\lukep\SpaceDatingApp\babel.config.js", "JavaScript", 6, 0, 0, 1, 7
"c:\Users\lukep\SpaceDatingApp\components\CaptureFaceScreen.js", "JavaScript", 67, 0, 3, 13, 83
"c:\Users\lukep\SpaceDatingApp\components\ChatScreen.js", "JavaScript", 54, 0, 1, 9, 64
"c:\Users\lukep\SpaceDatingApp\components\FriendRequestScreen.js", "JavaScript", 40, 0, 1, 9, 50
"c:\Users\lukep\SpaceDatingApp\components\HomeScreen.js", "JavaScript", 14, 0, 1, 3, 18
"c:\Users\lukep\SpaceDatingApp\components\LoginScreen.js", "JavaScript", 40, 0, 1, 5, 46
"c:\Users\lukep\SpaceDatingApp\components\MatchScreen.js", "JavaScript", 29, 0, 1, 7, 37
"c:\Users\lukep\SpaceDatingApp\components\ProfileScreen.js", "JavaScript", 39, 0, 1, 9, 49
"c:\Users\lukep\SpaceDatingApp\components\RegisterScreen.js", "JavaScript", 44, 0, 1, 7, 52
"c:\Users\lukep\SpaceDatingApp\components\SwipeScreen.js", "JavaScript", 44, 0, 1, 9, 54
"c:\Users\lukep\SpaceDatingApp\components\UserCard.js", "JavaScript", 0, 0, 0, 1, 1
"c:\Users\lukep\SpaceDatingApp\components\faceEncoding.js", "JavaScript", 20, 0, 2, 5, 27
"c:\Users\lukep\SpaceDatingApp\package-lock.json", "JSON", 0, 16098, 0, 1, 16099
"c:\Users\lukep\SpaceDatingApp\package.json", "JSON", 0, 36, 0, 1, 37
"c:\Users\lukep\SpaceDatingApp\styles\styles.js", "JavaScript", 45, 0, 1, 2, 48
"c:\Users\lukep\SpaceDatingApp\supabase.js", "JavaScript", 4, 0, 1, 2, 7
"Total", "-", 479, 16161, 18, 90, 16748
